"Error","Code","Description"
"ERRINFO_PERSISTENTKEYPDUTOOMANYCACHEKEYS","4317","A Persistent Key List PDU (section 2.2.1.17) was received which specified an invalid total number of keys for a bitmap cache (the number of entries that can be stored within each bitmap cache is specified in the Revision 1 or 2 Bitmap Cache Capability Set (section 2.2.7.1.4) that is sent from client to server)."
"ERRINFO_INPUTPDUBADLENGTH","4318","There is not enough data to process Input Event PDU Data (section 2.2.8.1.1.3.1) or a Fast-Path Input Event PDU (section 2.2.8.1.2)."
"ERRINFO_BITMAPCACHEERRORPDUBADLENGTH","4319","There is not enough data to process the shareDataHeader, NumInfoBlocks, Pad1, and Pad2 fields of the Bitmap Cache Error PDU Data ([MS-RDPEGDI] section 2.2.2.3.1.1)."
"ERRINFO_SECURITYDATATOOSHORT","4320","One of two possible errors:
The dataSignature field of the Fast-Path Input Event PDU (section 2.2.8.1.2) does not contain enough data.
The fipsInformation and dataSignature fields of the Fast-Path Input Event PDU (section 2.2.8.1.2) do not contain enough data."
"ERRINFO_VCHANNELDATATOOSHORT","4321","One of two possible errors:
There is not enough data in the Client Network Data (section 2.2.1.3.4) to read the virtual channel configuration data.
There is not enough data to read a complete Channel PDU Header (section 2.2.6.1.1)."
"ERRINFO_SHAREDATATOOSHORT","4322","One of four possible errors:
There is not enough data to process Control PDU Data (section 2.2.1.15.1).
There is not enough data to read a complete Share Control Header (section 2.2.8.1.1.1.1).
There is not enough data to read a complete Share Data Header (section 2.2.8.1.1.1.2) of a Slow-Path Data PDU (section 2.2.8.1.1.1.1).
There is not enough data to process Font List PDU Data (section 2.2.1.18.1)."
"ERRINFO_BADSUPRESSOUTPUTPDU","4323","One of two possible errors:
There is not enough data to process Suppress Output PDU Data (section 2.2.11.3.1).
The allowDisplayUpdates field of the Suppress Output PDU Data (section 2.2.11.3.1) is invalid."
"ERRINFO_CONFIRMACTIVEPDUTOOSHORT","4325","One of two possible errors:
There is not enough data to read the shareControlHeader, shareId, originatorId, lengthSourceDescriptor, and lengthCombinedCapabilities fields of the Confirm Active PDU Data (section 2.2.1.13.2.1).
There is not enough data to read the sourceDescriptor, numberCapabilities, pad2Octets, and capabilitySets fields of the Confirm Active PDU Data (section 2.2.1.13.2.1)."
"ERRINFO_CAPABILITYSETTOOSMALL","4327","There is not enough data to read the capabilitySetType and the lengthCapability fields in a received Capability Set (section 2.2.1.13.1.1.1)."
"ERRINFO_CAPABILITYSETTOOLARGE","4328","A Capability Set (section 2.2.1.13.1.1.1) has been received with a lengthCapability field that contains a value greater than the total length of the data received."
"ERRINFO_NOCURSORCACHE","4329","One of two possible errors:
Both the colorPointerCacheSize and pointerCacheSize fields in the Pointer Capability Set (section 2.2.7.1.5) are set to zero.
The pointerCacheSize field in the Pointer Capability Set (section 2.2.7.1.5) is not present, and the colorPointerCacheSize field is set to zero."
"ERRINFO_BADCAPABILITIES","4330","The capabilities received from the client in the Confirm Active PDU (section 2.2.1.13.2) were not accepted by the server."
"ERRINFO_VIRTUALCHANNELDECOMPRESSIONERR","4332","An error occurred while using the bulk compressor (section 3.1.8 and [MS-RDPEGDI] section 3.1.8) to decompress a Virtual Channel PDU (section 2.2.6.1)"
"ERRINFO_INVALIDVCCOMPRESSIONTYPE","4333","An invalid bulk compression package was specified in the flags field of the Channel PDU Header (section 2.2.6.1.1)."
"ERRINFO_INVALIDCHANNELID","4335","An invalid MCS channel ID was specified in the mcsPdu field of the Virtual Channel PDU (section 2.2.6.1)."
"ERRINFO_VCHANNELSTOOMANY","4336","The client requested more than the maximum allowed 31 static virtual channels in the Client Network Data (section 2.2.1.3.4)."
"ERRINFO_REMOTEAPPSNOTENABLED","4339","The INFO_RAIL flag (0x00008000) MUST be set in the flags field of the Info Packet (section 2.2.1.11.1.1) as the session on the remote server can only host remote applications."
"ERRINFO_CACHECAPNOTSET","4340","The client sent a Persistent Key List PDU (section 2.2.1.17) without including the prerequisite Revision 2 Bitmap Cache Capability Set (section 2.2.7.1.4.2) in the Confirm Active PDU (section 2.2.1.13.2)."
"ERRINFO_BITMAPCACHEERRORPDUBADLENGTH2","4341","The NumInfoBlocks field in the Bitmap Cache Error PDU Data is inconsistent with the amount of data in the Info field ([MS-RDPEGDI] section 2.2.2.3.1.1)."
"ERRINFO_OFFSCRCACHEERRORPDUBADLENGTH","4342","There is not enough data to process an Offscreen Bitmap Cache Error PDU ([MS-RDPEGDI] section 2.2.2.3.2)."
