Code,URL,Name
0x0000005C,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x5c__hal_initialization_failed.htm,HAL_INITIALIZATION_FAILED
0x0000005D,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x5d__unsupported_processor.htm,UNSUPPORTED_PROCESSOR
0x0000005E,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x5e__object_initialization_failed.htm,OBJECT_INITIALIZATION_FAILED
0x0000005F,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x5f__security_initialization_failed.htm,SECURITY_INITIALIZATION_FAILED
0x00000060,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x60__process_initialization_failed.htm,PROCESS_INITIALIZATION_FAILED
0x00000061,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x61__hal1_initialization_failed.htm,HAL1_INITIALIZATION_FAILED
0x00000062,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x62__object1_initialization_failed.htm,OBJECT1_INITIALIZATION_FAILED
0x00000063,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x63__security1_initialization_failed.htm,SECURITY1_INITIALIZATION_FAILED
0x00000064,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x64__symbolic_initialization_failed.htm,SYMBOLIC_INITIALIZATION_FAILED
0x00000065,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x65__memory1_initialization_failed.htm,MEMORY1_INITIALIZATION_FAILED
0x00000066,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x66__cache_initialization_failed.htm,CACHE_INITIALIZATION_FAILED
0x00000067,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x67__config_initialization_failed.htm,CONFIG_INITIALIZATION_FAILED
0x00000068,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x68__file_initialization_failed.htm,FILE_INITIALIZATION_FAILED
0x00000069,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x69__io1_initialization_failed.htm,IO1_INITIALIZATION_FAILED
0x0000006A,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x6a__lpc_initialization_failed.htm,LPC_INITIALIZATION_FAILED
0x0000006B,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x6b__process1_initialization_failed.htm,PROCESS1_INITIALIZATION_FAILE</b></a>D</td>
0x0000006C,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x6c__refmon_initialization_failed.htm,REFMON_INITIALIZATION_FAILED
0x0000006D,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x6d__session1_initialization_failed.htm,SESSION1_INITIALIZATION_FAILED
0x0000006E,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x6e__session2_initialization_failed.htm,SESSION2_INITIALIZATION_FAILED
0x0000006F,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x6f__session3_initialization_failed.htm,SESSION3_INITIALIZATION_FAILED
0x00000070,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x70__session4_initialization_failed.htm,SESSION4_INITIALIZATION_FAILED
0x00000071,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x71__session5_initialization_failed.htm,SESSION5_INITIALIZATION_FAILED
0x00000072,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x72__assign_drive_letters_failed.htm,ASSIGN_DRIVE_LETTERS_FAILED
0x00000073,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x73__config_list_failed.htm,CONFIG_LIST_FAILED
0x00000074,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x74__bad_system_config_info.htm,BAD_SYSTEM_CONFIG_INFO
0x00000075,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x75__cannot_write_configuration.htm,CANNOT_WRITE_CONFIGURATION
0x00000076,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x76__process_has_locked_pages.htm,PROCESS_HAS_LOCKED_PAGES
0x00000077,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x77__kernel_stack_inpage_error.htm,KERNEL_STACK_INPAGE_ERROR
0x00000078,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x78__phase0_exception.htm,PHASE0_EXCEPTION
0x00000079,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x79__mismatched_hal.htm,MISMATCHED_HAL
0x0000007A,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x7a__kernel_data_inpage_error.htm,KERNEL_DATA_INPAGE_ERROR
0x0000007B,mk:@MSITStore:C:\Debuggers\debugger.chm::/debugger/bug_check_0x7b__inaccessible_boot_device.htm,INACCESSIBLE_BOOT_DEVICE
